"","pair_id","time_utc","insert_time","travel_time","time","time_adjusted","id","speed","datetime","traveltime"
"54",10356,2013-09-15 13:20:00,"2013-09-15 17:20:00","332",2013-09-15 17:20:00,2013-09-15 17:20:00,2853,51,2014-09-14 13:20:00,367
"55",10356,2013-09-15 13:35:00,"2013-09-15 17:35:00","332",2013-09-15 17:35:00,2013-09-15 17:35:00,2863,51.3,2014-09-14 13:35:00,365
"56",10356,2013-09-15 13:50:00,"2013-09-15 17:50:00","338",2013-09-15 17:50:00,2013-09-15 17:50:00,2873,54.6,2014-09-14 13:50:00,343
"57",10356,2013-09-15 14:05:00,"2013-09-15 18:05:00","346",2013-09-15 18:05:00,2013-09-15 18:05:00,2883,58,2014-09-14 14:05:00,323
"58",10356,2013-09-15 14:20:00,"2013-09-15 18:20:00","344",2013-09-15 18:20:00,2013-09-15 18:20:00,2893,55.9,2014-09-14 14:20:00,335
"59",10356,2013-09-15 14:35:00,"2013-09-15 18:35:00","338",2013-09-15 18:35:00,2013-09-15 18:35:00,2903,52.4,2014-09-14 14:35:00,357
"60",10356,2013-09-15 14:50:00,"2013-09-15 18:50:00","327",2013-09-15 18:50:00,2013-09-15 18:50:00,2913,53,2014-09-14 14:50:00,353
"61",10356,2013-09-15 15:05:00,"2013-09-15 19:05:00","343",2013-09-15 19:05:00,2013-09-15 19:05:00,2923,53,2014-09-14 15:05:00,353
"62",10356,2013-09-15 15:20:00,"2013-09-15 19:20:00","363",2013-09-15 19:20:00,2013-09-15 19:20:00,2933,53.6,2014-09-14 15:20:00,349
"63",10356,2013-09-15 15:35:00,"2013-09-15 19:35:00","345",2013-09-15 19:35:00,2013-09-15 19:35:00,2943,53.6,2014-09-14 15:35:00,349
"64",10356,2013-09-15 15:50:00,"2013-09-15 19:50:00","354",2013-09-15 19:50:00,2013-09-15 19:50:00,2953,54.3,2014-09-14 15:50:00,345
"65",10356,2013-09-15 16:05:00,"2013-09-15 20:05:00","360",2013-09-15 20:05:00,2013-09-15 20:05:00,2963,50.9,2014-09-14 16:05:00,368
"66",10356,2013-09-15 16:20:00,"2013-09-15 20:20:00","430",2013-09-15 20:20:00,2013-09-15 20:20:00,2973,53.9,2014-09-14 16:20:00,347
"67",10356,2013-09-15 16:35:00,"2013-09-15 20:35:00","370",2013-09-15 20:35:00,2013-09-15 20:35:00,2983,50.7,2014-09-14 16:35:00,369
"68",10356,2013-09-15 16:50:00,"2013-09-15 20:50:00","374",2013-09-15 20:50:00,2013-09-15 20:50:00,2993,52.7,2014-09-14 16:50:00,355
"69",10356,2013-09-15 17:05:00,"2013-09-15 21:05:00","379",2013-09-15 21:05:00,2013-09-15 21:05:00,3003,52.7,2014-09-14 17:05:00,355
"70",10356,2013-09-15 17:20:00,"2013-09-15 21:20:00","361",2013-09-15 21:20:00,2013-09-15 21:20:00,3013,53.3,2014-09-14 17:20:00,351
"71",10356,2013-09-15 17:35:00,"2013-09-15 21:35:00","383",2013-09-15 21:35:00,2013-09-15 21:35:00,3023,53.3,2014-09-14 17:35:00,351
"72",10356,2013-09-15 17:50:00,"2013-09-15 21:50:00","355",2013-09-15 21:50:00,2013-09-15 21:50:00,3033,51,2014-09-14 17:50:00,367
"73",10356,2013-09-15 18:05:00,"2013-09-15 22:05:00","379",2013-09-15 22:05:00,2013-09-15 22:05:00,3043,49.7,2014-09-14 18:05:00,377
"74",10356,2013-09-15 18:20:00,"2013-09-15 22:20:00","342",2013-09-15 22:20:00,2013-09-15 22:20:00,3053,34.9,2014-09-14 18:20:00,537.001
"75",10356,2013-09-15 18:35:00,"2013-09-15 22:35:00","346",2013-09-15 22:35:00,2013-09-15 22:35:00,3063,48.6,2014-09-14 18:35:00,385
"76",10356,2013-09-15 18:50:00,"2013-09-15 22:50:00","350",2013-09-15 22:50:00,2013-09-15 22:50:00,3073,52.1,2014-09-14 18:50:00,359
"77",10356,2013-09-15 19:05:00,"2013-09-15 23:05:00","350",2013-09-15 23:05:00,2013-09-15 23:05:00,3083,55.5,2014-09-14 19:05:00,337
"78",10356,2013-09-15 19:20:00,"2013-09-15 23:20:00","362",2013-09-15 23:20:00,2013-09-15 23:20:00,3093,50.2,2014-09-14 19:20:00,373
"79",10356,2013-09-15 19:35:00,"2013-09-15 23:35:00","352",2013-09-15 23:35:00,2013-09-15 23:35:00,3103,56.7,2014-09-14 19:35:00,330
"80",10356,2013-09-15 19:50:00,"2013-09-15 23:50:00","344",2013-09-15 23:50:00,2013-09-15 23:50:00,3113,53.5,2014-09-14 19:50:00,350
"81",10356,2013-09-15 20:05:00,"2013-09-16 00:05:00","340",2013-09-16 00:05:00,2013-09-16 00:05:00,3123,52.6,2014-09-14 20:05:00,356
"82",10356,2013-09-15 20:20:00,"2013-09-16 00:20:00","352",2013-09-16 00:20:00,2013-09-16 00:20:00,3133,50.9,2014-09-14 20:20:00,368
"83",10356,2013-09-15 20:35:00,"2013-09-16 00:35:00","343",2013-09-16 00:35:00,2013-09-16 00:35:00,3143,51.1,2014-09-14 20:35:00,366
"84",10356,2013-09-15 20:50:00,"2013-09-16 00:50:00","363",2013-09-16 00:50:00,2013-09-16 00:50:00,3153,55.4,2014-09-14 20:50:00,338
"85",10356,2013-09-15 21:05:00,"2013-09-16 01:05:00","329",2013-09-16 01:05:00,2013-09-16 01:05:00,3163,50.9,2014-09-14 21:05:00,368
"86",10356,2013-09-15 21:20:00,"2013-09-16 01:20:00","361",2013-09-16 01:20:00,2013-09-16 01:20:00,3173,55.4,2014-09-14 21:20:00,338
"87",10356,2013-09-15 21:35:00,"2013-09-16 01:35:00","378",2013-09-16 01:35:00,2013-09-16 01:35:00,3183,51.4,2014-09-14 21:35:00,364
"88",10356,2013-09-15 21:50:00,"2013-09-16 01:50:00","329",2013-09-16 01:50:00,2013-09-16 01:50:00,3193,51.4,2014-09-14 21:50:00,364
"89",10356,2013-09-15 22:05:00,"2013-09-16 02:05:00","345",2013-09-16 02:05:00,2013-09-16 02:05:00,3203,53.2,2014-09-14 22:05:00,352
"90",10356,2013-09-15 22:20:00,"2013-09-16 02:20:00","403",2013-09-16 02:20:00,2013-09-16 02:20:00,3213,54.3,2014-09-14 22:20:00,345
"91",10356,2013-09-15 22:35:00,"2013-09-16 02:35:00","363",2013-09-16 02:35:00,2013-09-16 02:35:00,3223,52.6,2014-09-14 22:35:00,356
"92",10356,2013-09-15 22:50:00,"2013-09-16 02:50:00","353",2013-09-16 02:50:00,2013-09-16 02:50:00,3233,44.2,2014-09-14 22:50:00,424
"93",10356,2013-09-15 23:05:00,"2013-09-16 03:05:00","333",2013-09-16 03:05:00,2013-09-16 03:05:00,3243,44.2,2014-09-14 23:05:00,424
"94",10356,2013-09-15 23:20:00,"2013-09-16 03:20:00","349",2013-09-16 03:20:00,2013-09-16 03:20:00,3253,49.3,2014-09-14 23:20:00,380
"95",10356,2013-09-15 23:35:00,"2013-09-16 03:35:00","351",2013-09-16 03:35:00,2013-09-16 03:35:00,3263,49.3,2014-09-14 23:35:00,380
"96",10356,2013-09-15 23:50:00,"2013-09-16 03:50:00","401",2013-09-16 03:50:00,2013-09-16 03:50:00,3273,50.2,2014-09-14 23:50:00,373
"97",10356,2013-09-16 00:05:00,"2013-09-16 04:05:00","365",2013-09-16 04:05:00,2013-09-16 04:05:00,3283,46.7,2014-09-15 00:05:00,401
"98",10356,2013-09-16 00:20:00,"2013-09-16 04:20:00","379",2013-09-16 04:20:00,2013-09-16 04:20:00,3293,47.4,2014-09-15 00:20:00,395
"99",10356,2013-09-16 00:35:00,"2013-09-16 04:35:00","365",2013-09-16 04:35:00,2013-09-16 04:35:00,3303,47.9,2014-09-15 00:35:00,391
"100",10356,2013-09-16 00:50:00,"2013-09-16 04:50:00","387",2013-09-16 04:50:00,2013-09-16 04:50:00,3313,47.4,2014-09-15 00:50:00,395
"101",10356,2013-09-16 01:05:00,"2013-09-16 05:05:00","385",2013-09-16 05:05:00,2013-09-16 05:05:00,3323,47.9,2014-09-15 01:05:00,391
"102",10356,2013-09-16 01:20:00,"2013-09-16 05:20:00","385",2013-09-16 05:20:00,2013-09-16 05:20:00,3333,47.9,2014-09-15 01:20:00,391
"103",10356,2013-09-16 01:35:00,"2013-09-16 05:35:00","353",2013-09-16 05:35:00,2013-09-16 05:35:00,3343,47.5,2014-09-15 01:35:00,394
"104",10356,2013-09-16 01:50:00,"2013-09-16 05:50:00","361",2013-09-16 05:50:00,2013-09-16 05:50:00,3353,47.5,2014-09-15 01:50:00,394
"105",10356,2013-09-16 02:05:00,"2013-09-16 06:05:00","409",2013-09-16 06:05:00,2013-09-16 06:05:00,3363,47,2014-09-15 02:05:00,398
"106",10356,2013-09-16 02:20:00,"2013-09-16 06:20:00","391",2013-09-16 06:20:00,2013-09-16 06:20:00,3373,47,2014-09-15 02:20:00,398
"107",10356,2013-09-16 02:35:00,"2013-09-16 06:35:00","391",2013-09-16 06:35:00,2013-09-16 06:35:00,3383,47,2014-09-15 02:35:00,398
"108",10356,2013-09-16 02:50:00,"2013-09-16 06:50:00","391",2013-09-16 06:50:00,2013-09-16 06:50:00,3393,47,2014-09-15 02:50:00,398
"109",10356,2013-09-16 03:05:00,"2013-09-16 07:05:00","391",2013-09-16 07:05:00,2013-09-16 07:05:00,3403,47,2014-09-15 03:05:00,398
"110",10356,2013-09-16 03:20:00,"2013-09-16 07:20:00","391",2013-09-16 07:20:00,2013-09-16 07:20:00,3413,47,2014-09-15 03:20:00,398
"111",10356,2013-09-16 03:35:00,"2013-09-16 07:35:00","366",2013-09-16 07:35:00,2013-09-16 07:35:00,3423,47,2014-09-15 03:35:00,398
"112",10356,2013-09-16 03:50:00,"2013-09-16 07:50:00","366",2013-09-16 07:50:00,2013-09-16 07:50:00,3433,47,2014-09-15 03:50:00,398
"113",10356,2013-09-16 04:05:00,"2013-09-16 08:05:00","366",2013-09-16 08:05:00,2013-09-16 08:05:00,3443,47,2014-09-15 04:05:00,398
"114",10356,2013-09-16 04:20:00,"2013-09-16 08:20:00","340",2013-09-16 08:20:00,2013-09-16 08:20:00,3453,47.5,2014-09-15 04:20:00,394
"115",10356,2013-09-16 04:35:00,"2013-09-16 08:35:00","336",2013-09-16 08:35:00,2013-09-16 08:35:00,3463,53.2,2014-09-15 04:35:00,352
"116",10356,2013-09-16 04:50:00,"2013-09-16 08:50:00","336",2013-09-16 08:50:00,2013-09-16 08:50:00,3473,53.2,2014-09-15 04:50:00,352
"117",10356,2013-09-16 05:05:00,"2013-09-16 09:05:00","331",2013-09-16 09:05:00,2013-09-16 09:05:00,3483,53.2,2014-09-15 05:05:00,352
"118",10356,2013-09-16 05:20:00,"2013-09-16 09:20:00","331",2013-09-16 09:20:00,2013-09-16 09:20:00,3493,61.4,2014-09-15 05:20:00,305
"119",10356,2013-09-16 05:35:00,"2013-09-16 09:35:00","335",2013-09-16 09:35:00,2013-09-16 09:35:00,3503,58.5,2014-09-15 05:35:00,320
"120",10356,2013-09-16 05:50:00,"2013-09-16 09:50:00","313",2013-09-16 09:50:00,2013-09-16 09:50:00,3513,55.4,2014-09-15 05:50:00,338
"121",10356,2013-09-16 06:05:00,"2013-09-16 10:05:00","341",2013-09-16 10:05:00,2013-09-16 10:05:00,3523,59.2,2014-09-15 06:05:00,316
"122",10356,2013-09-16 06:20:00,"2013-09-16 10:20:00","345",2013-09-16 10:20:00,2013-09-16 10:20:00,3533,52.3,2014-09-15 06:20:00,358
"123",10356,2013-09-16 06:35:00,"2013-09-16 10:35:00","345",2013-09-16 10:35:00,2013-09-16 10:35:00,3543,59.6,2014-09-15 06:35:00,314
"124",10356,2013-09-16 06:50:00,"2013-09-16 10:50:00","321",2013-09-16 10:50:00,2013-09-16 10:50:00,3553,54.1,2014-09-15 06:50:00,346
"125",10356,2013-09-16 07:05:00,"2013-09-16 11:05:00","327",2013-09-16 11:05:00,2013-09-16 11:05:00,3563,54.7,2014-09-15 07:05:00,342
"126",10356,2013-09-16 07:35:00,"2013-09-16 11:35:00","355",2013-09-16 11:35:00,2013-09-16 11:35:00,3583,51.4,2014-09-15 07:35:00,364
"127",10356,2013-09-16 07:50:00,"2013-09-16 11:50:00","387",2013-09-16 11:50:00,2013-09-16 11:50:00,3593,44.2,2014-09-15 07:50:00,424
"128",10356,2013-09-16 08:20:00,"2013-09-16 12:20:00","403",2013-09-16 12:20:00,2013-09-16 12:20:00,3613,36.3,2014-09-15 08:20:00,516
"129",10356,2013-09-16 08:35:00,"2013-09-16 12:35:00","376",2013-09-16 12:35:00,2013-09-16 12:35:00,3623,33.8,2014-09-15 08:35:00,554
"130",10356,2013-09-16 08:50:00,"2013-09-16 12:50:00","376",2013-09-16 12:50:00,2013-09-16 12:50:00,3633,50.6,2014-09-15 08:50:00,370
"131",10356,2013-09-16 09:05:00,"2013-09-16 13:05:00","376",2013-09-16 13:05:00,2013-09-16 13:05:00,3643,52.9,2014-09-15 09:05:00,354
"132",10356,2013-09-16 09:20:00,"2013-09-16 13:20:00","376",2013-09-16 13:20:00,2013-09-16 13:20:00,3653,54.1,2014-09-15 09:20:00,346
"133",10356,2013-09-16 09:35:00,"2013-09-16 13:35:00","376",2013-09-16 13:35:00,2013-09-16 13:35:00,3663,51.1,2014-09-15 09:35:00,366
"134",10356,2013-09-16 09:50:00,"2013-09-16 13:50:00","362",2013-09-16 13:50:00,2013-09-16 13:50:00,3673,50.6,2014-09-15 09:50:00,370
"135",10356,2013-09-16 10:05:00,"2013-09-16 14:05:00","342",2013-09-16 14:05:00,2013-09-16 14:05:00,3683,53.3,2014-09-15 10:05:00,351
"136",10356,2013-09-16 10:20:00,"2013-09-16 14:20:00","352",2013-09-16 14:20:00,2013-09-16 14:20:00,3693,48.4,2014-09-15 10:20:00,387
"137",10356,2013-09-16 10:35:00,"2013-09-16 14:35:00","364",2013-09-16 14:35:00,2013-09-16 14:35:00,3703,57.6,2014-09-15 10:35:00,325
"138",10356,2013-09-16 10:50:00,"2013-09-16 14:50:00","382",2013-09-16 14:50:00,2013-09-16 14:50:00,3713,54.3,2014-09-15 10:50:00,345
"139",10356,2013-09-16 11:05:00,"2013-09-16 15:05:00","390",2013-09-16 15:05:00,2013-09-16 15:05:00,3723,53.6,2014-09-15 11:05:00,349
"140",10356,2013-09-16 11:20:00,"2013-09-16 15:20:00","390",2013-09-16 15:20:00,2013-09-16 15:20:00,3733,51.9,2014-09-15 11:20:00,361
"141",10356,2013-09-16 11:35:00,"2013-09-16 15:35:00","372",2013-09-16 15:35:00,2013-09-16 15:35:00,3743,51.9,2014-09-15 11:35:00,361
"142",10356,2013-09-16 11:50:00,"2013-09-16 15:50:00","364",2013-09-16 15:50:00,2013-09-16 15:50:00,3753,53.3,2014-09-15 11:50:00,351
"143",10356,2013-09-16 12:05:00,"2013-09-16 16:05:00","366",2013-09-16 16:05:00,2013-09-16 16:05:00,3763,52.1,2014-09-15 12:05:00,359
"144",10356,2013-09-16 12:20:00,"2013-09-16 16:20:00","362",2013-09-16 16:20:00,2013-09-16 16:20:00,3773,48.9,2014-09-15 12:20:00,383
"145",10356,2013-09-16 12:35:00,"2013-09-16 16:35:00","358",2013-09-16 16:35:00,2013-09-16 16:35:00,3783,50.7,2014-09-15 12:35:00,369
"146",10356,2013-09-16 12:50:00,"2013-09-16 16:50:00","358",2013-09-16 16:50:00,2013-09-16 16:50:00,3793,53.3,2014-09-15 12:50:00,351
"147",10356,2013-09-16 13:05:00,"2013-09-16 17:05:00","379",2013-09-16 17:05:00,2013-09-16 17:05:00,3803,56.6,2014-09-15 13:05:00,331
"148",10356,2013-09-16 13:20:00,"2013-09-16 17:20:00","349",2013-09-16 17:20:00,2013-09-16 17:20:00,3813,55.5,2014-09-15 13:20:00,337
