"","pair_id","insert_time","travel_time","time"
"10088675",10356,"2013-09-15 14:20:00","362",2013-09-15 14:20:00
"10088676",10356,"2013-09-15 14:25:00","362",2013-09-15 14:25:00
"10088677",10356,"2013-09-15 14:30:00","350",2013-09-15 14:30:00
"10088678",10356,"2013-09-15 14:35:00","350",2013-09-15 14:35:00
"10088679",10356,"2013-09-15 14:40:00","350",2013-09-15 14:40:00
"10088680",10356,"2013-09-15 14:45:00","350",2013-09-15 14:45:00
"10088681",10356,"2013-09-15 14:50:00","344",2013-09-15 14:50:00
"10088682",10356,"2013-09-15 14:55:00","328",2013-09-15 14:55:00
"10088683",10356,"2013-09-15 15:00:00","328",2013-09-15 15:00:00
"10088684",10356,"2013-09-15 15:05:00","328",2013-09-15 15:05:00
"10088685",10356,"2013-09-15 15:10:00","328",2013-09-15 15:10:00
"10088686",10356,"2013-09-15 15:15:00","354",2013-09-15 15:15:00
"10088687",10356,"2013-09-15 15:20:00","322",2013-09-15 15:20:00
"10088688",10356,"2013-09-15 15:25:00","328",2013-09-15 15:25:00
"10088689",10356,"2013-09-15 15:30:00","324",2013-09-15 15:30:00
"10088690",10356,"2013-09-15 15:35:00","328",2013-09-15 15:35:00
"10088691",10356,"2013-09-15 15:40:00","336",2013-09-15 15:40:00
"10088692",10356,"2013-09-15 15:45:00","326",2013-09-15 15:45:00
"10088693",10356,"2013-09-15 15:50:00","326",2013-09-15 15:50:00
"10088694",10356,"2013-09-15 15:55:00","326",2013-09-15 15:55:00
"10088695",10356,"2013-09-15 16:00:00","346",2013-09-15 16:00:00
"10088696",10356,"2013-09-15 16:05:00","354",2013-09-15 16:05:00
"10088697",10356,"2013-09-15 16:10:00","354",2013-09-15 16:10:00
"10088698",10356,"2013-09-15 16:15:00","356",2013-09-15 16:15:00
"10088699",10356,"2013-09-15 16:20:00","342",2013-09-15 16:20:00
"10088700",10356,"2013-09-15 16:25:00","328",2013-09-15 16:25:00
"10088701",10356,"2013-09-15 16:30:00","320",2013-09-15 16:30:00
"10088702",10356,"2013-09-15 16:35:00","316",2013-09-15 16:35:00
"10088703",10356,"2013-09-15 16:40:00","320",2013-09-15 16:40:00
"10088704",10356,"2013-09-15 16:45:00","324",2013-09-15 16:45:00
"10088705",10356,"2013-09-15 16:50:00","325",2013-09-15 16:50:00
"10088706",10356,"2013-09-15 16:55:00","339",2013-09-15 16:55:00
"10088707",10356,"2013-09-15 17:00:00","343",2013-09-15 17:00:00
"10088708",10356,"2013-09-15 17:05:00","350",2013-09-15 17:05:00
"10088709",10356,"2013-09-15 17:10:00","350",2013-09-15 17:10:00
"10088710",10356,"2013-09-15 17:15:00","330",2013-09-15 17:15:00
"10088711",10356,"2013-09-15 17:20:00","332",2013-09-15 17:20:00
